Hotel Name,Correlation (Winter),Correlation (Spring),Correlation (Summer),Correlation (Autumn),Correlation
Bertram Inn & Conference Center,Data not enough,0.9999999999999998,Data not enough,-0.9999999999999998,Not enough data
Best Florida Resort,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Inn Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Nights Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Way Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western,-1.0,Data not enough,1.0,Data not enough,Not enough data
Best Western Adena Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Adirondack Inn,0.4906347625106476,-0.9999418887834653,Data not enough,0.5093071262728178,Not enough data
Best Western Airport Inn,-0.023108342258051775,Data not enough,-0.9602320976358837,0.8028941070613644,-0.023108342258051775
Best Western Allatoona Inn Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Alvin Inn,Data not enough,-1.0,1.0,Data not enough,Not enough data
Best Western Ambassador Inn & Suites,-0.2249295911045555,-0.0587109733857507,0.23781777635663032,0.12607550070917603,Not enough data
Best Western Anthony/West El Paso,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Appleton Inn,-0.8809190073723144,Data not enough,Data not enough,0.8809190073723144,Not enough data
Best Western Arizonian Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Beach Dunes Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Beacon Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Black Hills Lodge,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Blackwell Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Bowery Hanbee Hotel,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Brentwood,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Cabrillo Garden Inn,-0.47120373757176287,0.13867368496604052,0.18895938126907577,0.07426687868059716,-0.5460586143919647
Best Western Canal Winchester Inn - Columbus South East,0.3223448194061147,Data not enough,-0.957066723334206,0.4916534726773119,Not enough data
Best Western Cantebury Inn & Suites,Data not enough,-1.0,1.0,Data not enough,Not enough data
Best Western Capital Beltway,0.10583887794068116,0.05503417646420185,0.005923865210070304,-0.11235233549741021,0.09796259870618193
Best Western Carmel's Town House Lodge,-0.06227764376588078,-0.4740780447858885,0.6096958173139291,Data not enough,Not enough data
Best Western Casino Inn,1.0,-1.0,Data not enough,Data not enough,Not enough data
Best Western Central Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Cityplace Inn,0.3408637088865086,0.1768068722458848,-0.11854865708323599,-0.3160757411703746,0.1682179944409801
Best Western Clermont,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Continental Inn,0.10293655568411661,0.08275680055228025,-0.2824232627121149,0.19589426089163087,Not enough data
Best Western Cooper's Mill Hotel,-0.0875348535075364,Data not enough,-0.04947130107271068,0.15230799119143545,Not enough data
Best Western Cordelia Inn,Data not enough,Data not enough,0.15545805077871333,-0.15545805077871333,Not enough data
Best Western Corvallis,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Country Inn,-0.01720459618474629,0.3532341376541334,-0.6871764561868584,0.25548411863101333,Not enough data
Best Western Country Suites,0.3402582547175011,0.6442222955984701,-0.9844805503159711,Data not enough,Not enough data
Best Western Courtesy Inn,0.3458502497298983,Data not enough,-0.3458502497298983,Data not enough,Not enough data
Best Western Dallas Inn & Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Danville Inn,0.32475621527003334,-0.43228451568934634,-0.019051209426986706,0.23674588171002953,Not enough data
Best Western Dartmouth Inn,0.962451041457416,-0.71631272709722,-0.24613831436019595,Data not enough,Not enough data
Best Western Dayton,0.25871311864535845,0.5964800899888932,-0.83719335358204,Data not enough,Not enough data
Best Western Desert Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Designer Inn & Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Dunkirk & Fredonia Inn,Data not enough,-1.0,Data not enough,1.0,Not enough data
Best Western Dunkirk Fredonia Inn,0.8152918968065904,-0.4830220274766514,Data not enough,-0.38322968787457545,Not enough data
Best Western Dutch Valley Inn,0.1663798594827605,0.27650300052731736,Data not enough,-0.4869587256250324,Not enough data
Best Western Eden Prairie Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western El Grande Inn,0.9999999999999999,-0.9999999999999999,Data not enough,Data not enough,Not enough data
Best Western Empire Towers,0.4606433194718284,0.21316028493716596,-0.868657363722264,Data not enough,Not enough data
