Unnamed: 0,Hotel Name,Province,Postal,Category,SubCategory,Compound Sentiment,Total Reviews,Average Rating
1594,Sleep Inn Suites,ID,83402,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,2,5
1595,Sleep Inn Suites,VA,24084,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,1,4
1596,Sleep Inn Suites,WY,82633,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,1,5
1597,Sleep Inn Suites Harbour Pointe,VA,23112,"Tourist Hotel,  Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,2,4
1598,Sleep Inn Suites Tyler South,TX,75703,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,3,5
1599,Sleep inn,SC,29483,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,0,1,3
1600,Snowshoe Motel,CO,80443,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,2,4
1601,Solstice Motorcoach Resort,NV,89034,"Hotel,  Resorts",Accommodation & Food Services,1,1,3
1602,Solvang Inn Cottages,CA,93463,"Rental Services,  Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,1,2,4
1603,Sonesta ES Suites Columbia Baltimore,MD,21045,"Hotel & Motel Consultants,  Lodging,  Hotel",Accommodation & Food Services,1,29,4
1604,Sonesta ES Suites Flagstaff,AZ,86004,"Apartments,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,8,4
1605,Sonesta Es Suites Charlotte,NC,28273,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,5
1606,Soniat House,LA,70116-2593,Hotel,Accommodation & Food Services,1,2,4
1607,Sonoran Suites of San Diego,CA,92081-7563,Hotel,Accommodation & Food Services,1,3,5
1608,Sound Board,MI,48201,"Casino,  Diner,  Nightclub,  Hotel,  Concert Hall",Accommodation & Food Services,1,8,5
1609,South Congress Hotel,TX,78704,"Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,1,2,4
1610,SpringHill Suites Atlanta Buckhead,GA,30326,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
1611,SpringHill Suites Boise,ID,83713-1729,"Hotel and Resort,  Hotel-Apartment,  Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,1,5
1612,SpringHill Suites Boise Parkcenter,ID,83706,"Hotel-Apartment,  Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,3,5
1613,SpringHill Suites Chesapeake Greenbrier,VA,23320,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,1,4
1614,SpringHill Suites Coeur d'Alene,ID,83814,"Lodging,  Coeur D'alene Hotel,  Hotel,  Motel",Accommodation & Food Services,1,3,5
1615,SpringHill Suites Denver North/Westminster,CO,80021,"Motel,  Hotel",Accommodation & Food Services,1,6,4
1616,SpringHill Suites Lafayette South at River Ranch,LA,70508,"Travel and Tourism,  Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,0,1,5
1617,SpringHill Suites Las Vegas Convention Center,NV,89109-1220,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
1618,SpringHill Suites Los Angeles LAX/Manhattan Beach,CA,90250,Hotel,Accommodation & Food Services,1,4,5
1619,SpringHill Suites Naples,FL,34117,"Hotel & Motel,  Hotel,  Resort",Accommodation & Food Services,1,6,5
1620,SpringHill Suites Norfolk Old Dominion University,VA,23508,Hotel,Accommodation & Food Services,1,2,3
1621,SpringHill Suites Paso Robles Atascadero,CA,93422,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,5
1622,SpringHill Suites Phoenix Chandler/Fashion Center,AZ,85226-3194,"Hotel-Apartment,  Lodging,  Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,2,5
1623,SpringHill Suites San Diego Rancho Bernardo/Scripps Poway,CA,92131-5155,"Hotel & Motel,  Hotel Northeastern San Diego,  Hotel",Accommodation & Food Services,1,2,4
1624,SpringHill Suites by Marriott Norfolk Virginia Beach,VA,23502,Hotel,Accommodation & Food Services,1,46,4
1625,SpringHill Suites by Marriott Virginia Beach Oceanfront,VA,23451,"Hotel & Motel,  Hotel,  Meeting Facilities",Accommodation & Food Services,1,21,4
1626,Springhill Suites Cincinnati Midtown,OH,45202,"Hotel Walnut Hills,  Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,0,1,5
1627,Springhill Suites Pensacola,FL,32504,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,5
1628,St George Motor Inn,CA,91356,"Hotel & Motel reservations,  Banquet Halls & Reception Facilities,  Motel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,2
1629,Stage Stop Hotel,CO,81073,"Lodging,  Hotel,  Corporate Lodging,  Motel",Accommodation & Food Services,-1,1,3
1630,Staybridge Suites Chantilly Dulles Airport,VA,20151,"Hotel & Motel,   Conference Room,   and Meeting Room,  Hotel",Accommodation & Food Services,1,5,4
1631,Staybridge Suites El Paso Airport Area,TX,79915,"Extended Stay,  Tourist Hotel,  Budget Hotel,  Family-Friendly Hotel,  Beach Hotel,  Business Hotel,  Lodging,  Hotel & Motel,  Meeting Room,  Conference Room,  Hotel,  Weekend Getaway Hotel",Accommodation & Food Services,1,1,5
1632,Staybridge Suites Indianapolis-Carmel,IN,46280,"Hotel & Motel,  Meeting Room,  Conference Room,  Hotel",Accommodation & Food Services,1,3,4
1633,Staybridge Suites Lincoln Northeast,NE,68505,"Hotel & Motel Reservations,  Extended Stay,  Accommodation Reservations,  Accommodations & Lodging,  Tourist Hotel,  Budget Hotel,  Beach Hotel,  Business Hotel,  Family-friendly Hotel,  Lodging,  Motel,  Hotel & Motel,  Meeting Room,  Conference Room,  Hotel,  Corporate Lodging,  Weekend Getaway Hotel",Accommodation & Food Services,1,2,4
1634,Staybridge Suites Omaha 80th And Dodge,NE,68114,"Hotel & Motel reservations,  Budget Hotel,   Conference Room,  Luxury Hotel,  Hotel & Motel,  Hotel,  Corporate Lodging,  Travel and Tourism,  Hotel and Lodging,  Banquet Halls & Reception Facilities,  Business Hotel,  Lodging,  Motel,  Weekend Getaway Hotel,  Tourist Hotel,  Beach Hotel,  Hotel & Motel consultants,  Bed and Breakfast,   and Meeting Room Central Omaha,  Extended Stay,  Family-friendly Hotel",Accommodation & Food Services,-1,1,4
1635,Staybridge Suites Rockford,IL,61107,"Hotel & Motel reservations,  Hotel & Motel,  Meeting Room,  Conference Room,  Hotel",Accommodation & Food Services,1,3,5
1636,Sterling Gardens Hotel,NV,89101-5108,"Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,4
1637,Stonebrook Lodge,NC,28719,"Tourist information services,  Attractions,  Resorts,  Lodging,  Luxury Hotel,  Hotel & Motel,  Motel,  Hotel",Accommodation & Food Services,1,2,4
1638,Stonersville Hotel,PA,19508,"Hotel & Motel reservations,  Restaurants,  Lodging,  Motel,  Hotel & Motel,  Restaurant,  Birdsboro Restaurants,  Hotel",Accommodation & Food Services,1,1,4
1639,Suburban Extended Stay,FL,33810,"Hotel-Apartment,  Lodging,  Hotel",Accommodation & Food Services,-0,1,2
1640,Suburban Extended Stay Hotel,FL,33966,"Apartments,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,4
1641,Suburban Extended Stay Hotel,TX,77642,"Hotel-Apartment,  Lodging,  Hotel",Accommodation & Food Services,1,1,5
1642,Sunbeam Motel,CA,93401,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,3
1643,Suncoast Hotel and Casino,NV,89145-8508,"Casino,  Restaurants,  Resorts,  Lodging,  Hotel",Accommodation & Food Services,1,58,4
1644,Sunrise Inn,AK,99572,"Cooper Landing Ak,  Restaurants,  Motel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,4
1645,Sunset Motel,PA,16443,"B&bs / Inns,  Budget Hotel,  Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,1,5
1646,Sunshine Inn,SD,57790,"Hotel & Motel,  Motel,  Lodging,  Hotel",Accommodation & Food Services,1,5,4
1647,Sunshine Motel,NM,87701,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,5
1648,Super 8 Alton,IL,62002,"Budget Hotel,  Travel & Transport,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,-1,7,3
1649,Super 8 Anderson,IN,46013,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,5
1650,Super 8 Augusta,GA,30907,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,8,2
1651,Super 8 Bloomington/Airport,MN,55420,"Tourist Hotel,  Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,8,4
1652,Super 8 Columbia,TN,38401,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,-0,1,3
1653,Super 8 Crawfordsville,IN,47933,"Budget Hotel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,7,2
1654,Super 8 Delavan Near Lake Geneva,WI,53115,"Budget Hotel,  Hotel & Motel,  Hotel",Accommodation & Food Services,-1,1,1
